HIP,HD,ra (deg),dec (deg),V mag,Mv =V + 5log(parallax in mas) -10,parallax in mas,std error on parallax,relative precision of distance,total proper motion (mas/yr),pm in ra (mas/yr),pm in dec (mas/yr),transverse velocity,in CNS3,Name
70890,,217.449,-62.681,11.01,15.45,772.33,2.42,0.003,3852.99,-3775.64,768.16,23.65,*,alpha_Cen_C
71681,128621,219.914,-60.839,1.35,5.7,742.12,1.4,0.002,3724.12,-3600.35,952.11,23.79,*,alpha^2_Cen
71683,128620,219.92,-60.835,-0.01,4.34,742.12,1.4,0.002,3709.62,-3678.19,481.84,23.7,*,alpha^1_Cen
87937,,269.454,4.668,9.54,13.24,549.01,1.58,0.003,10357.7,-797.84,10326.93,89.43,*,Barnard's_star
54035,95735,165.836,35.981,7.49,10.46,392.4,0.91,0.002,4802.27,-580.2,-4767.09,58.01,*,
32349,48915,101.289,-16.713,-1.44,1.45,379.21,1.58,0.004,1339.42,-546.01,-1223.08,16.74,*,alpha_CMa
92403,,282.454,-23.836,10.37,13,336.48,1.82,0.005,665.97,637.55,-192.47,9.38,*,
16537,22049,53.235,-9.458,3.72,6.18,310.75,0.85,0.003,976.61,-976.44,17.97,14.9,*,epsilon_Eri
114046,217987,346.447,-35.856,7.35,9.76,303.9,0.87,0.003,6896.07,6767.26,1326.66,107.57,*,
57548,,176.934,0.808,11.12,13.5,299.58,2.2,0.007,1361.36,605.62,-1219.23,21.54,*,
104214,201091,316.712,38.741,5.2,7.49,287.13,1.51,0.005,5280.65,4155.1,3258.9,87.18,*,61_Cyg_A
37279,61421,114.827,5.228,0.4,2.68,285.93,0.88,0.003,1258.5,-716.57,-1034.58,20.86,*,alpha_CMi
104217,201092,316.717,38.734,6.05,8.33,285.42,0.72,0.003,5172.4,4107.4,3143.72,85.91,*,61_Cyg_B
91772,173740,280.702,59.622,9.7,11.97,284.48,5.01,0.018,2312.51,-1393.2,1845.73,38.53,*,
91768,173739,280.701,59.626,8.94,11.18,280.28,2.57,0.009,2237.91,-1326.88,1802.12,37.85,*,
1475,1326,4.586,44.022,8.09,10.33,280.27,1.05,0.004,2917.95,2888.92,410.58,49.35,*,
108870,209100,330.823,-56.78,4.69,6.89,275.76,0.69,0.003,4703.94,3959.97,-2538.84,80.86,*,epsilon_Ind
8102,10700,26.021,-15.94,3.49,5.68,274.17,0.8,0.003,1922,-1721.82,854.07,33.23,*,tau_Cet
5643,,18.125,-17.001,12.1,14.25,269.05,7.57,0.028,1372.17,1210.09,646.95,24.18,*,
36208,,111.851,5.235,9.84,11.94,263.26,1.43,0.005,3738.16,571.27,-3694.25,67.31,*,Luyten's_star
24186,33793,77.897,-45.004,8.86,10.89,255.26,0.86,0.003,8670.5,6506.05,-5731.39,161.02,*,Kapteyn's_star
105090,202560,319.324,-38.865,6.69,8.71,253.37,1.13,0.004,3454.95,-3259,-1146.99,64.64,*,
110893,239960,337.002,57.697,9.59,11.58,249.52,3.03,0.012,989.56,-870.23,-471.1,18.8,*,Kruger_60
30920,,97.346,-2.812,11.12,13.05,242.89,2.64,0.011,930.24,694.73,-618.62,18.16,*,
72511,,222.39,-26.106,11.72,13.58,235.24,22.43,0.095,1396.32,-1389.7,135.76,28.14,*,
80824,,247.575,-12.66,10.1,11.95,234.51,1.82,0.008,1188.59,-93.61,-1184.9,24.03,*,
439,225213,1.335,-37.352,8.56,10.36,229.33,1.08,0.005,6099.89,5634.07,-2337.94,126.09,*,
15689,,50.523,-13.278,12.16,13.94,227.45,61.79,0.272,319.66,-112.94,-299.04,6.66,,
3829,,12.288,5.395,12.37,14.15,226.95,5.35,0.024,2977.84,1233.05,-2710.56,62.2,*,Van_Maanen_2
72509,,222.386,-26.111,12.07,13.8,221.8,69.07,0.311,1436.11,-1421.6,-203.6,30.69,*,
86162,,264.11,68.342,9.15,10.87,220.85,0.92,0.004,1309.37,-320.47,-1269.55,28.11,*,
85523,,262.164,-46.893,9.38,11.1,220.43,1.63,0.007,1050.15,573.32,-879.84,22.58,*,
114110,,346.662,-14.872,12.24,13.92,216.52,18.28,0.084,139.76,112.27,83.24,3.06,,
57367,,176.414,-64.841,11.5,13.18,216.4,2.11,0.01,2687.64,2665.17,-346.83,58.88,*,
113020,,343.317,-14.262,10.16,11.8,212.69,2.1,0.01,1174.19,960.33,-675.64,26.17,*,
54211,,166.384,43.524,8.82,10.4,206.94,1.19,0.006,4510.53,-4410.79,943.32,103.32,*,
49908,88230,152.847,49.455,6.6,8.16,205.22,0.81,0.004,1452.19,-1361.55,-505,33.54,*,
82725,,253.634,-62.404,11.72,13.26,203.01,29.27,0.144,308.29,254.79,173.56,7.2,,
85605,,262.401,24.653,11.39,12.92,202.69,39.48,0.195,362.24,97.33,348.92,8.47,,
106440,204961,323.392,-49.007,8.66,10.19,202.53,1.33,0.007,819.31,-46.18,-818.01,19.18,*,
86214,,264.268,-44.317,10.94,12.43,198.32,2.43,0.012,1176.47,-710.11,-937.99,28.12,*,
19849,26965,63.823,-7.645,4.43,5.92,198.24,0.84,0.004,4087.79,-2239.33,-3419.86,97.75,*,o^2_Eri
112460,,341.71,44.335,10.29,11.77,198.07,2.05,0.01,841.18,-704.66,-459.39,20.13,*,
88601,165341,271.363,2.502,4.03,5.5,196.62,1.38,0.007,970.68,124.56,-962.66,23.4,*,70_Oph
97649,187642,297.695,8.867,0.76,2.2,194.44,0.94,0.005,660.92,536.82,385.54,16.11,*,alpha_Aql
1242,,3.865,-16.132,11.49,12.9,191.86,17.24,0.09,954.74,728.18,-617.48,23.59,*,
57544,,176.913,78.69,10.8,12.14,185.48,1.43,0.008,884.95,743.21,480.4,22.62,*,
67155,119850,206.428,14.895,8.46,9.79,184.13,1.27,0.007,2298.14,1778.46,-1455.52,59.17,*,
103039,,313.138,-16.975,11.41,12.71,182.15,3.68,0.02,308.24,-306.7,30.78,8.02,,
21088,,67.792,58.982,10.82,12.11,181.36,3.67,0.02,2426.71,1300.21,-2048.99,63.43,*,
33226,265866,103.706,33.269,9.89,11.18,181.32,1.87,0.01,831.49,-729.33,-399.31,21.74,*,
53020,,162.719,6.81,11.64,12.89,177.46,23,0.13,1141.28,-804.4,-809.6,30.49,*,
25878,36395,82.862,-3.672,7.97,9.19,175.72,1.2,0.007,2227.65,763.05,-2092.89,60.1,*,
82817,152751,253.872,-8.334,9.02,10.23,174.23,3.9,0.022,1208.35,-829.34,-878.81,32.88,*,
96100,185144,293.086,69.665,4.67,5.87,173.41,0.46,0.003,1838.91,598.43,-1738.81,50.27,*,sigma_Dra
29295,42581,92.645,-21.863,8.15,9.34,173.19,1.12,0.006,727.09,-137.01,-714.06,19.9,*,
26857,,85.534,12.493,11.56,12.75,172.78,3.88,0.022,2542.26,1999.05,-1570.64,69.75,*,
86990,,266.648,-57.316,10.75,11.93,172.08,2.22,0.013,1755.97,-1119.87,-1352.52,48.37,*,
94761,180617,289.232,5.172,9.12,10.28,170.26,1.37,0.008,1452.07,-578.86,-1331.7,40.43,*,
73184,131977,224.364,-21.411,5.72,6.86,169.32,1.67,0.01,2011.77,1034.18,-1725.6,56.32,*,
37766,,116.168,3.554,11.19,12.32,168.59,2.67,0.016,567.62,-344.87,-450.84,15.96,*,
76074,,233.058,-41.273,9.31,10.44,168.52,1.42,0.008,1563.65,-1177.47,-1028.86,43.99,*,
3821,4614,12.271,57.817,3.46,4.59,167.99,0.62,0.004,1222.71,1087.11,-559.65,34.5,*,eta_Cas
84478,156026,259.057,-26.543,6.33,7.45,167.56,1.06,0.006,1221.51,-479.71,-1123.37,34.56,*,
117473,,357.3,2.404,8.98,10.1,167.51,1.49,0.009,1388.44,995.12,-968.25,39.29,*,
84405,155885,258.839,-26.6,4.33,5.44,167.08,1.07,0.006,1238.13,-473.69,-1143.93,35.13,*,36_Oph
99461,191408,302.798,-36.097,5.32,6.41,165.24,0.9,0.005,1639.84,456.89,-1574.91,47.04,*,
15510,20794,49.972,-43.072,4.26,5.35,165.02,0.55,0.003,3123.7,3038.08,726.34,89.73,*,e_Eri
99240,190248,302.174,-66.179,3.55,4.62,163.73,0.65,0.004,1656.04,1210.29,-1130.34,47.95,*,delta_Pav
71253,,218.571,-12.521,11.32,12.39,163.51,2.77,0.017,694.24,-357.5,595.12,20.13,*,
86961,,266.553,-32.103,10.49,11.53,161.77,11.29,0.07,323.68,-49.82,-319.82,9.48,,
86963,,266.56,-32.102,11.39,12.43,161.77,11.29,0.07,281.05,-77.62,-270.12,8.24,,
45343,79210,138.601,52.688,7.64,8.68,161.59,5.23,0.032,1633.59,-1533.58,-562.8,47.92,*,
99701,191849,303.47,-45.164,7.97,9.01,161.17,1.08,0.007,794.37,778.18,-159.55,23.36,*,
116132,,352.966,19.937,10.05,11.07,160.06,2.81,0.018,557.92,554.4,-62.61,16.52,*,
74995,,229.865,-7.722,10.57,11.58,159.52,2.27,0.014,1228.59,-1224.55,-99.52,36.51,*,
120005,79211,138.609,52.688,7.7,8.71,159.48,6.61,0.041,1684.4,-1551.3,-656.25,50.07,*,
84140,155876,258.032,45.67,9.31,10.31,158.17,3.26,0.021,1624.76,325.96,-1591.73,48.7,*,
34603,,107.509,38.532,11.65,12.63,157.24,3.32,0.021,1045.33,-439.68,-948.36,31.51,*,
54298,,166.628,-53.269,11.69,12.65,155.28,78.3,0.504,275.63,-39.5,< 272.78,8.41,,
82809,,253.857,-8.32,11.73,12.67,153.96,4.04,0.026,1209.62,-813.47,-895.23,37.24,*,
114622,219134,348.311,57.168,5.57,6.5,153.24,0.65,0.004,2095.24,2074.37,294.97,64.82,*,
80459,,246.351,54.305,10.13,11.04,151.93,1.11,0.007,464.78,432.29,-170.71,14.5,*,
53767,,165.019,22.834,10.03,10.92,150.96,1.59,0.011,510.01,-426.31,-279.94,16.02,*,
72659,131156,222.847,19.101,4.54,5.41,149.26,0.76,0.005,168.62,152.81,-71.28,5.36,*,xi_Boo
106106,,322.401,17.642,10.33,11.19,148.29,1.85,0.012,1076,1008.09,376.21,34.4,*,
114176,,346.831,-32.268,12.28,13.13,147.95,13.76,0.093,225.64,-223.58,-30.45,7.23,,
113296,216899,344.148,16.554,8.68,9.49,145.27,1.22,0.008,1071.35,-1033.21,-283.33,34.96,*,
84709,156384,259.735,-34.99,5.91,6.69,143.45,17.12,0.119,1152.82,1149.24,-90.8,38.1,*,
103096,199305,313.332,62.156,8.55,9.31,141.95,0.77,0.005,774.24,1.08,-774.24,25.86,*,
12114,16160,39.016,6.883,5.79,6.5,138.72,1.04,0.007,2311.58,1806.27,1442.5,78.99,*,
51317,,157.233,0.843,9.65,10.35,138.29,2.13,0.015,947.85,-602.32,-731.87,32.49,*,
83945,,257.38,43.682,11.77,12.47,137.84,8.95,0.065,434.51,333.92,-278.02,14.94,*,
3765,4628,12.094,5.283,5.74,6.38,134.04,0.86,0.006,1370.04,758.04,-1141.22,48.45,*,
7981,10476,25.625,20.27,5.24,5.87,133.91,0.91,0.007,741.72,-302.12,-677.4,26.26,*,107_Psc
2021,2151,6.413,-77.255,2.82,3.45,133.78,0.51,0.004,2243.69,2220.12,324.37,79.5,*,beta_Hyi
73182,131976,224.358,-21.407,8.01,8.64,133.63,33.56,0.251,1937.14,987.05,-1666.81,68.72,*,
12781,,41.062,25.524,10.55,11.16,132.42,2.48,0.019,939.49,864.77,-367.17,33.63,*,
5336,6582,17.054,54.924,5.17,5.78,132.4,0.6,0.005,3776.76,3421.44,-1599.27,135.22,*,mu_Cas
65859,,202.496,10.38,9.05,9.64,131.12,1.29,0.01,1557.72,1128,-1074.3,56.32,*,
113283,216803,344.099,-31.565,6.48,7.07,130.94,0.92,0.007,367.16,330.53,-159.86,13.29,*,
61874,,190.195,-43.568,12.24,12.82,130.52,3.87,0.03,1045.23,-782.02,693.51,37.96,*,
113368,216956,344.412,-29.622,1.17,1.74,130.08,0.92,0.007,367.9,329.22,-164.22,13.41,*,alpha_PsA
85295,157881,261.44,2.114,7.54,8.1,129.54,0.95,0.007,1319.36,-580.47,-1184.81,48.28,*,
91262,172167,279.234,38.783,0.03,0.58,128.93,0.55,0.004,350.77,201.02,287.46,12.9,*,alpha_Lyr
88574,165222,271.28,-3.031,9.37,9.91,128.28,1.44,0.011,660.06,570.14,-332.59,24.39,*,
49986,,153.074,-3.745,9.26,9.8,127.99,1.53,0.012,287.03,-152.93,-242.9,10.63,*,
101180,,307.631,65.449,10.54,11.04,125.62,1.11,0.009,526.46,443.25,284.06,19.87,*,
106255,,322.825,-9.791,11.96,12.44,124.82,28.85,0.231,1163.06,1161.8,-54.19,44.17,*,
33499,,104.448,-44.291,10.81,11.29,124.62,2.64,0.021,1103.07,-1102.25,-42.57,41.96,*,
22449,30652,72.459,6.961,3.19,3.67,124.6,0.95,0.008,463.59,463.44,11.62,17.64,*,pi^3_Ori
80346,,246.035,48.354,10.27,10.74,124.34,1.16,0.009,1231.4,1145.33,-452.28,46.95,*,
89937,170153,275.26,72.734,3.55,4.02,124.11,0.48,0.004,636.92,531.08,-351.59,24.33,*,chi_Dra
86287,,264.47,18.589,9.62,10.07,123.02,1.62,0.013,1351.18,926.83,983.19,52.07,*,
5496,,17.593,-67.446,9.8,10.25,122.86,7.53,0.061,691.84,389.2,571.98,26.69,*,
113576,217357,345.07,-22.524,7.88,8.33,122.8,0.94,0.008,906.07,-904.21,58.09,34.98,*,
4856,,15.621,71.681,9.98,10.43,122.77,1.23,0.01,1786.66,1745.69,-380.43,68.99,*,
7751,10360,24.947,-56.196,5.76,6.21,122.75,1.41,0.011,286.58,286.1,16.66,11.07,*,p_Eri
38956,,119.552,41.305,12.02,12.46,122.53,11.52,0.094,717.25,212.35,-685.1,27.75,*,
76901,,235.532,-19.469,11.83,12.26,121.86,43.95,0.361,2282.67,-2032.22,-1039.54,88.8,*,
62452,,191.988,9.753,11.39,11.82,121.78,2.9,0.024,1108.17,-1007.72,-461.01,43.14,*,
93449,,285.474,-36.952,11.57,12,121.75,68.24,0.56,61.14,-34.36,50.57,2.38,,
20968,,67.437,-29.026,11.42,11.83,120.7,56.47,0.468,289.06,-58.31,-283.12,11.35,,
31292,,98.448,-75.626,11.41,11.8,119.54,13.42,0.112,401.45,-308.79,256.54,15.92,,
61317,109358,188.438,41.357,4.24,4.63,119.46,0.83,0.007,763.49,-705.06,292.93,30.3,*,beta_CVn
86974,161797,266.615,27.722,3.42,3.8,119.05,0.62,0.005,804.63,-291.42,-750,32.04,*,mu_Her
80018,,245.017,-37.531,10.56,10.92,118.03,2.28,0.019,1230.59,-729.36,991.16,49.42,*,
23452,32450,75.619,-21.256,8.31,8.66,117.38,1.81,0.015,263.07,-141.55,-221.74,10.62,*,
64924,115617,199.604,-18.309,4.74,5.09,117.3,0.71,0.006,1508.75,-1069.9,-1063.78,60.97,*,61_Vir
57802,,177.781,35.271,9.76,10.1,116.92,1.38,0.012,372.77,-271.97,254.93,15.11,*,
1599,1581,5.008,-64.878,4.23,4.56,116.38,0.64,0.005,2067.32,1707.56,1165.36,84.21,*,zeta_Tuc
113229,,343.95,-75.456,10.42,10.74,116.02,1.33,0.011,1477.26,-1027.28,-1061.6,60.36,*,
93873,,286.774,20.889,10.77,11.09,115.91,2.47,0.021,592.14,-480.82,-345.6,24.22,*,
111802,214479,339.689,-20.621,9.06,9.38,115.71,1.5,0.013,457.6,450.58,-79.86,18.75,*,
27913,39587,88.596,20.276,4.39,4.7,115.43,1.08,0.009,190.81,-163.17,-98.92,7.84,*,chi^1_Ori
25578,,82.001,9.646,12.48,12.78,115.04,5.22,0.045,783.92,-194.06,-759.52,32.3,*,
32984,50281,103.077,-5.174,6.58,6.88,114.94,0.86,0.007,544.42,-544.41,-3.3,22.45,*,
14559,,46.991,-28.221,11.72,12.02,114.73,33.98,0.296,214.04,-156.07,-146.48,8.84,,
31293,,98.433,-75.631,10.35,10.64,114.18,3.18,0.028,402.39,-290.42,278.52,16.71,,
109388,,332.415,-4.641,10.41,10.69,113.97,2.1,0.018,1135.07,1134.9,-19.71,47.21,*,
84720,156274,259.762,-46.637,5.47,5.75,113.81,1.36,0.012,1041,1035.25,109.22,43.36,*,
23311,32147,75.203,-5.751,6.22,6.49,113.46,0.82,0.007,1238.49,550.74,-1109.3,51.75,*,
99825,192310,303.819,-27.033,5.73,6,113.33,0.89,0.008,1254.54,1241.35,-181.46,52.48,*,
93899,349726,286.806,20.878,10.76,11.02,112.82,2.41,0.021,585.28,-481.05,-333.38,24.59,*,
60559,,186.216,-18.237,11.28,11.54,112.52,2.51,0.022,2554.5,1095.9,-2307.48,107.62,*,
108706,,330.304,28.307,11.99,12.23,111.57,3.19,0.029,373.89,372.11,36.48,15.89,*,
27072,38393,86.117,-22.447,3.59,3.83,111.49,0.6,0.005,470.39,-292.42,-368.45,20,*,gamma_Lep
47103,,144.006,-21.658,10.91,11.14,111.41,1.99,0.018,999,137.17,-989.54,42.51,*,
56528,,173.862,-32.538,9.81,10.03,110.65,1.81,0.016,855.4,-69.85,-852.54,36.65,*,
17378,23249,55.812,-9.765,3.52,3.74,110.58,0.88,0.008,747.87,-91.71,742.23,32.06,*,delta_Eri